,Date,Value,roi,roi_Value,roi_Value_percent,Date_year,Date_month,Date_day,month_mean_Value,month_roi
0,2016-09-11,621.65,,,,2016,9,11,606.3935,1
1,2016-09-12,609.67,-1,-11.980000000000018,-1.9271294136572057,2016,9,12,606.3935,1
2,2016-09-13,610.92,1,1.25,0.20502895008775243,2016,9,13,606.3935,1
3,2016-09-14,608.82,-1,-2.099999999999909,-0.3437438617167402,2016,9,14,606.3935,1
4,2016-09-15,610.38,1,1.5599999999999454,0.25623336946879954,2016,9,15,606.3935,1
5,2016-09-16,609.11,-1,-1.2699999999999818,-0.20806710573740653,2016,9,16,606.3935,1
6,2016-09-17,607.04,-1,-2.07000000000005,-0.33984009456420844,2016,9,17,606.3935,1
7,2016-09-18,611.58,1,4.540000000000077,0.7478914074855162,2016,9,18,606.3935,1
8,2016-09-19,610.19,-1,-1.3899999999999864,-0.2272801595866422,2016,9,19,606.3935,1
9,2016-09-20,608.66,-1,-1.5300000000000864,-0.2507415722971675,2016,9,20,606.3935,1
10,2016-09-21,598.88,-1,-9.779999999999973,-1.6068083987776383,2016,9,21,606.3935,-1
11,2016-09-22,597.42,-1,-1.4600000000000364,-0.24378840502271515,2016,9,22,606.3935,-1
12,2016-09-23,594.08,-1,-3.339999999999918,-0.5590706705500181,2016,9,23,606.3935,-1
13,2016-09-24,603.88,1,9.799999999999955,1.6496094802046786,2016,9,24,606.3935,-1
14,2016-09-25,601.74,-1,-2.1399999999999864,-0.3543750413989512,2016,9,25,606.3935,-1
15,2016-09-26,598.98,-1,-2.759999999999991,-0.4586698574134993,2016,9,26,606.3935,-1
16,2016-09-27,605.96,1,6.980000000000018,1.1653143677585258,2016,9,27,606.3935,-1
17,2016-09-28,605.67,-1,-0.2900000000000773,-0.047857944418786276,2016,9,28,606.3935,-1
18,2016-09-29,603.85,-1,-1.8199999999999363,-0.30049366816912454,2016,9,29,606.3935,-1
19,2016-09-30,609.39,1,5.539999999999964,0.9174463856918048,2016,9,30,606.3935,1
20,2016-10-01,614.82,1,5.430000000000064,0.8910549894156556,2016,10,1,639.3429032258065,-1
21,2016-10-02,612.98,-1,-1.8400000000000318,-0.2992745844312208,2016,10,2,639.3429032258065,-1
22,2016-10-03,611.85,-1,-1.1299999999999955,-0.18434532937453021,2016,10,3,639.3429032258065,-1
23,2016-10-04,609.62,-1,-2.230000000000018,-0.3644684154613088,2016,10,4,639.3429032258065,-1
24,2016-10-05,607.18,-1,-2.4400000000000546,-0.4002493356517264,2016,10,5,639.3429032258065,-1
25,2016-10-06,612.08,1,4.900000000000091,0.807009453539328,2016,10,6,639.3429032258065,-1
26,2016-10-07,617.21,1,5.1299999999999955,0.8381257351980125,2016,10,7,639.3429032258065,-1
27,2016-10-08,614.74,-1,-2.4700000000000273,-0.40018794251551776,2016,10,8,639.3429032258065,-1
