,Date,Value,roi_x,roi_Value_x,roi_Value_percent_x,month_mean_Value_x,month_roi_x,USD (PM),roi_y,roi_Value_y,roi_Value_percent_y,month_mean_Value_y,month_roi_y,buy_Value,sale_Value,buy_USD (PM),sale_USD (PM),new_roi_bitcoin,new_roi_gold,have_money,deal_bitcoin,deal_gold,have_bitcoin,have_gold
0,2016-09-11,621.65,0.0,0.0,0.0,606.3935,1,1324.6,0.0,0.0,0.0,1323.4833333333331,1.0,634.083,609.217,1337.846,1311.3539999999998,0.0,0.0,1000.0,0.0,0.0,0.0,0
1,2016-09-12,609.67,-1.0,-11.980000000000018,-1.9271294136572057,606.3935,1,1324.6,0.0,0.0,0.0,1323.4833333333331,1.0,621.8634,597.4766,1337.846,1311.3539999999998,-36.60640000000001,-26.49200000000019,1000.0,0.0,0.0,0.0,0
2,2016-09-13,610.92,1.0,1.25,0.2050289500877524,606.3935,1,1323.65,-1.0,-0.949999999999818,-0.0717197644571809,1323.4833333333331,1.0,623.1383999999999,598.7016,1336.8865,1310.4135,-23.16179999999997,-27.43249999999989,1000.0,0.0,0.0,0.0,0
3,2016-09-14,608.82,-1.0,-2.099999999999909,-0.3437438617167402,606.3935,1,1321.75,-1.0,-1.900000000000091,-0.1435424772409693,1323.4833333333331,-1.0,620.9964000000001,596.6436,1334.9675,1308.5325,-26.49479999999994,-28.354000000000042,1000.0,0.0,0.0,0.0,0
4,2016-09-15,610.38,1.0,1.5599999999999454,0.2562333694687995,606.3935,1,1310.8,-1.0,-10.950000000000044,-0.8284471344808053,1323.4833333333331,-1.0,622.5876,598.1724,1323.908,1297.692,-22.82400000000007,-37.275499999999965,1000.0,0.0,0.0,0.0,0
5,2016-09-16,609.11,-1.0,-1.2699999999999818,-0.2080671057374065,606.3935,1,1308.35,-1.0,-2.450000000000045,-0.1869087580103788,1323.4833333333331,-1.0,621.2922,596.9278,1321.4334999999999,1295.2665,-25.659799999999905,-28.64149999999995,1000.0,0.0,0.0,0.0,0
6,2016-09-17,607.04,-1.0,-2.07000000000005,-0.3398400945642084,606.3935,1,1308.35,0.0,0.0,0.0,1323.4833333333331,-1.0,619.1808,594.8992,1321.4334999999999,1295.2665,-26.39300000000003,-26.166999999999916,1000.0,0.0,0.0,0.0,0
7,2016-09-18,611.58,1.0,4.540000000000077,0.7478914074855162,606.3935,1,1308.35,0.0,0.0,0.0,1323.4833333333331,-1.0,623.8116,599.3484000000001,1321.4334999999999,1295.2665,-19.832399999999893,-26.166999999999916,1000.0,0.0,0.0,0.0,0
8,2016-09-19,610.19,-1.0,-1.3899999999999864,-0.2272801595866422,606.3935,1,1314.85,1.0,6.5,0.4968089578476707,1323.4833333333331,-1.0,622.3938,597.9862,1327.9985,1301.7015,-25.825399999999945,-19.73199999999997,1000.0,0.0,0.0,0.0,0
9,2016-09-20,608.66,-1.0,-1.5300000000000864,-0.2507415722971675,606.3935,1,1313.8,-1.0,-1.0499999999999543,-0.0798570179107848,1323.4833333333331,-1.0,620.8332,596.4867999999999,1326.9379999999999,1300.662,-25.907000000000153,-27.336499999999887,1000.0,0.0,0.0,0.0,0
10,2016-09-21,598.88,-1.0,-9.779999999999973,-1.6068083987776385,606.3935,-1,1326.1,1.0,12.299999999999956,0.9362155579235772,1323.4833333333331,1.0,610.8576,586.9024,1339.3609999999999,1312.839,-33.93080000000009,-14.098999999999933,1000.0,0.0,0.0,0.0,0
11,2016-09-22,597.42,-1.0,-1.4600000000000364,-0.2437884050227151,606.3935,-1,1339.1,1.0,13.0,0.9803182263781012,1323.4833333333331,1.0,609.3684,585.4716,1352.491,1325.7089999999998,-25.38600000000008,-13.652000000000044,1000.0,0.0,0.0,0.0,0
12,2016-09-23,594.08,-1.0,-3.339999999999918,-0.5590706705500181,606.3935,-1,1338.65,-1.0,-0.4499999999998181,-0.0336046598461517,1323.4833333333331,1.0,605.9616000000001,582.1984,1352.0365000000002,1325.2635,-27.16999999999996,-27.227499999999964,1000.0,0.0,0.0,0.0,0
13,2016-09-24,603.88,1.0,9.799999999999956,1.6496094802046786,606.3935,-1,1338.65,0.0,0.0,0.0,1323.4833333333331,1.0,615.9576,591.8024,1352.0365000000002,1325.2635,-14.159200000000055,-26.77300000000014,1000.0,0.0,0.0,0.0,0
14,2016-09-25,601.74,-1.0,-2.1399999999999864,-0.3543750413989512,606.3935,-1,1338.65,0.0,0.0,0.0,1323.4833333333331,1.0,613.7748,589.7052,1352.0365000000002,1325.2635,-26.252399999999966,-26.77300000000014,1000.0,0.0,0.0,0.0,0
15,2016-09-26,598.98,-1.0,-2.759999999999991,-0.4586698574134993,606.3935,-1,1340.5,1.0,1.849999999999909,0.1381989317596017,1323.4833333333331,1.0,610.9596,587.0004,1353.905,1327.095,-26.774400000000014,-24.941500000000133,1000.0,0.0,0.0,0.0,0
16,2016-09-27,605.96,1.0,6.980000000000018,1.1653143677585258,606.3935,-1,1327.0,-1.0,-13.5,-1.0070869078701976,1323.4833333333331,1.0,618.0792,593.8408000000001,1340.27,1313.73,-17.118799999999965,-40.174999999999955,1000.0,0.0,0.0,0.0,0
17,2016-09-28,605.67,-1.0,-0.2900000000000773,-0.0478579444187862,606.3935,-1,1322.5,-1.0,-4.5,-0.3391107761868877,1323.4833333333331,-1.0,617.7833999999999,593.5566,1335.725,1309.275,-24.52260000000001,-30.99499999999989,1000.0,0.0,0.0,0.0,0
18,2016-09-29,603.85,-1.0,-1.8199999999999363,-0.3004936681691245,606.3935,-1,1318.1,-1.0,-4.400000000000091,-0.3327032136105928,1323.4833333333331,-1.0,615.927,591.773,1331.281,1304.9189999999999,-26.01039999999989,-30.80600000000004,1000.0,0.0,0.0,0.0,0
19,2016-09-30,609.39,1.0,5.539999999999964,0.9174463856918048,606.3935,1,1322.5,1.0,4.400000000000091,0.3338138229269472,1323.4833333333331,-1.0,621.5778,597.2022,1335.725,1309.275,-18.724800000000073,-22.005999999999858,1000.0,0.0,0.0,0.0,0
20,2016-10-01,614.82,1.0,5.430000000000064,0.8910549894156556,639.3429032258065,-1,1322.5,0.0,0.0,0.0,1266.5690476190478,1.0,627.1164000000001,602.5236,1335.725,1309.275,-19.054200000000037,-26.449999999999818,1000.0,0.0,0.0,0.0,0
21,2016-10-02,612.98,-1.0,-1.840000000000032,-0.2992745844312208,639.3429032258065,-1,1322.5,0.0,0.0,0.0,1266.5690476190478,1.0,625.2396,600.7204,1335.725,1309.275,-26.396000000000072,-26.449999999999818,1000.0,0.0,0.0,0.0,0
22,2016-10-03,611.85,-1.0,-1.1299999999999957,-0.1843453293745302,639.3429032258065,-1,1313.3,-1.0,-9.200000000000044,-0.6956521739130469,1266.5690476190478,1.0,624.087,599.613,1326.433,1300.167,-25.62659999999994,-35.55799999999999,1000.0,0.0,0.0,0.0,0
23,2016-10-04,609.62,-1.0,-2.230000000000018,-0.3644684154613088,639.3429032258065,-1,1283.3,-1.0,-30.0,-2.2843219371050028,1266.5690476190478,1.0,621.8124,597.4276,1296.133,1270.4669999999999,-26.659400000000005,-55.96600000000012,1000.0,0.0,0.0,0.0,0
24,2016-10-05,607.18,-1.0,-2.4400000000000546,-0.4002493356517264,639.3429032258065,-1,1269.4,-1.0,-13.899999999999864,-1.0831450167536714,1266.5690476190478,1.0,619.3235999999999,595.0364,1282.094,1256.7060000000001,-26.776000000000067,-39.42699999999991,1000.0,0.0,0.0,0.0,0
25,2016-10-06,612.08,1.0,4.900000000000091,0.807009453539328,639.3429032258065,-1,1254.5,-1.0,-14.900000000000093,-1.1737828895541271,1266.5690476190478,-1.0,624.3216000000001,599.8384,1267.045,1241.955,-19.485199999999963,-40.139000000000124,1000.0,0.0,0.0,0.0,0
26,2016-10-07,617.21,1.0,5.129999999999996,0.8381257351980125,639.3429032258065,-1,1258.75,1.0,4.25,0.3387803905938621,1266.5690476190478,-1.0,629.5542,604.8658,1271.3375,1246.1625,-19.455800000000067,-20.882500000000164,1000.0,0.0,0.0,0.0,0
27,2016-10-08,614.74,-1.0,-2.470000000000028,-0.4001879425155177,639.3429032258065,-1,1258.75,0.0,0.0,0.0,1266.5690476190478,-1.0,627.0348,602.4452,1271.3375,1246.1625,-27.109000000000037,-25.175000000000182,1000.0,0.0,0.0,0.0,0
28,2016-10-09,615.65,1.0,0.9099999999999682,0.1480300614894049,639.3429032258065,-1,1258.75,0.0,0.0,0.0,1266.5690476190478,-1.0,627.963,603.337,1271.3375,1246.1625,-23.69780000000003,-25.175000000000182,1000.0,0.0,0.0,0.0,0
29,2016-10-10,617.54,1.0,1.8899999999999864,0.306992609437178,639.3429032258065,-1,1259.5,1.0,0.75,0.0595829195630585,1266.5690476190478,-1.0,629.8908,605.1891999999999,1272.095,1246.905,-22.77380000000005,-24.43250000000012,1000.0,0.0,0.0,0.0,0
30,2016-10-11,614.77,-1.0,-2.769999999999982,-0.4485539398257573,639.3429032258065,-1,1253.45,-1.0,-6.0499999999999545,-0.4803493449781623,1266.5690476190478,-1.0,627.0654,602.4746,1265.9845,1240.9155,-27.416200000000003,-31.179499999999962,1000.0,0.0,0.0,0.0,0
31,2016-10-12,635.01,1.0,20.24000000000001,3.2922881728125986,639.3429032258065,-1,1256.5,1.0,3.0499999999999545,0.2433284135785196,1266.5690476190478,-1.0,647.7102,622.3098,1269.065,1243.935,-4.7555999999999585,-22.04950000000008,1000.0,0.0,0.0,0.0,0
32,2016-10-13,635.96,1.0,0.9500000000000456,0.1496039432449954,639.3429032258065,-1,1261.05,1.0,4.5499999999999545,0.3621169916434504,1266.5690476190478,-1.0,648.6792,623.2408,1273.6605,1248.4395,-24.46939999999995,-20.625500000000102,1000.0,0.0,0.0,0.0,0
33,2016-10-14,634.02,-1.0,-1.9400000000000543,-0.3050506321152359,639.3429032258065,-1,1251.75,-1.0,-9.299999999999956,-0.73748067086951,1266.5690476190478,-1.0,646.7004,621.3396,1264.2675,1239.2325,-27.33960000000002,-34.427999999999884,1000.0,0.0,0.0,0.0,0
34,2016-10-15,637.94,1.0,3.9200000000000728,0.6182770259613377,639.3429032258065,-1,1251.75,0.0,0.0,0.0,1266.5690476190478,-1.0,650.6988000000001,625.1812,1264.2675,1239.2325,-21.519199999999955,-25.034999999999854,1000.0,0.0,0.0,0.0,0
